zuordnung;Name;Vorname;Titel;Land;Zeit am Institut ;Abteilung;Auswahl 1950–1990;"""Ostblock"" inkl. China & Nordkorea";Förderer;Förderer extern;Herkunftsinstitut (bei letztem Aufenthalt am IEG);Forschungsthema;Beschreibung;Publikation;Betreuer/in oder nur Gutachter/in;Institution Betreuer/in;Ort Institution Betreuer/in;Staat Institution Betreuer/in;Staatsangehörigkeit Betreuer/in;Spalte2
Fellow;Abellán Garcia;Joaquín;;Spanien;1986;2;1;;Extern;Friedrich-Ebert-Stiftung;Universidad Complutense de Madrid, Spanien;Der deutsche Liberalismus 1830-1866;"Abellán Garcia war bereits Professor beim ersten Aufenthalt 1986; kein Gutachten";"{""weiteres52d3fad692fcd"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/972805583\/about\/html | Liberalismo alem\u00e1n en el siglo XIX: (1815-1848); Rotteck, Welcker, Pfizer, Mohl \/ estudio preliminar, selecci\u00f3n de los textos y notas de Joaqu\u00edn Abell\u00e1n. Trad. de Joaqu\u00edn Abell\u00e1n y Gabriela Ossenbach, Madrid 1987 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Abellán Garcia;Joaquín;;Spanien;1989;2;1;;Extern;Friedrich-Ebert-Stiftung;Universidad Complutense de Madrid, Spanien;Der deutsche Liberalismus 1830-1866;"Abellán Garcia war bereits Professor beim ersten Aufenthalt 1986; kein Gutachten";"{""weiteres52d3fad692fcd"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/972805583\/about\/html | Liberalismo alem\u00e1n en el siglo XIX: (1815-1848); Rotteck, Welcker, Pfizer, Mohl \/ estudio preliminar, selecci\u00f3n de los textos y notas de Joaqu\u00edn Abell\u00e1n. Trad. de Joaqu\u00edn Abell\u00e1n y Gabriela Ossenbach, Madrid 1987 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Adanir;Fikret;;Türkei;1977, 1978, 1979;2;1;;Institut;;Johann Wolfgang Goethe-Universität Frankfurt a. M., Deutschland;Das Osmanische Reich in der europäischen Frühneuzeit. Probleme seiner Verfassungsstruktur und seiner mächtepolitischen Rolle in Europa;;;B  ;Johann Wolfgang Goethe-Universität;Frankfurt a. M.;Bundesrepublik Deutschland;;
Fellow;Airhart;Cameron A.;;USA;1984;1;1;;Institut;;University of California, Berkeley, USA;"Die Auffassung von der »vita apostolica« bei den Waldensern vom 12. Jahrhundert bis zur Reformation; The Waldenses in European historiography 1500–1850";;"{""weiteres52d3facff3b9a"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=272715433 | The Waldenses in European historiography 1500\u20131850, Ann Arbor 1985 | _new>>\r\n""}}";B;University of California;Santa Barbara, California;USA;;
Fellow;Altmannsperger;Dieter;;Bundesrepublik Deutschland;1987;1;1;;Institut;;Ruprecht-Karls-Universität Heidelberg, Deutschland;"Die Rundfunkarbeit der evangelischen Kirche von 1945 bis 1958
Der Rundfunk als Kanzel? Die evangelische Rundfunkarbeit im Westen Deutschlands 1945–1949,";;"{""weiteres52d3fad6b75fa"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=022167889 | Der Rundfunk als Kanzel? Die evangelische Rundfunkarbeit im Westen Deutschlands 1945\u20131949, Neukirchen-Vluyn 1992 (Historisch-theologische Studien zum 19. und 20. Jahrhundert 4)  | _new>>\r\n""}}";B;Ruprecht-Karls-Universität;Heidelberg;Bundesrepublik Deutschland;;
Fellow;Altmannsperger;Dieter;;Bundesrepublik Deutschland;1989;1;1;;Institut;;Ruprecht-Karls-Universität Heidelberg, Deutschland;"Die Rundfunkarbeit der evangelischen Kirche von 1945 bis 1958
Der Rundfunk als Kanzel? Die evangelische Rundfunkarbeit im Westen Deutschlands 1945–1949,";;"{""weiteres52d3fad6b75fa"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=022167889 | Der Rundfunk als Kanzel? Die evangelische Rundfunkarbeit im Westen Deutschlands 1945\u20131949, Neukirchen-Vluyn 1992 (Historisch-theologische Studien zum 19. und 20. Jahrhundert 4)  | _new>>\r\n""}}";B;Ruprecht-Karls-Universität;Heidelberg;Bundesrepublik Deutschland;;
Fellow;Anderle;Othmar F.;;Österreich;1955, 1956;2;1;;Institut;;Universität Graz, Schweiz;Arnold Toynbee und die integrale Geschichtsbetrachtung;Anderle, Jahrgang 1907, war bereits promoviert. Betreuer nicht eindeutig.;"{""weiteres14561002f4a7abd"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074528327 | Das universalhistorische System Arnold Joseph Toynbees, Wien 1955 (Sammlung Die Universit\u00e4t 53) | _new>>""}}";G;"Schulwesen Steiermark (Regierungsdirektor); (Landesschulinspektor); Universität Graz; Universität Graz; Universität Graz; Universität Graz; Österreichische Akademie der Wissenschaften; Universität Wien; Harvard University; United States Educational Commission in Austria";"Graz; Graz; Graz; Graz; Graz; Graz; Wien; Wien; Cambridge; Wien";"Österreich; Österreich; Österreich; Österreich; Österreich; Österreich; Österreich; Österreich; USA; Österreich";;
;Anderle;Othmar F.;;Österreich;1957, 1958;1;1;;Institut;;Universität Graz, Schweiz;Ganzheitstheorien und Kulturwissenschaft;Anderle, Jahrgang 1907, war bereits promoviert. Stipendienakte Abt. Religionsgeschichte überprüfen - Gutachten?;"{""weiteres14561002f4a7abd"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074528327 | Das universalhistorische System Arnold Joseph Toynbees, Wien 1955 (Sammlung Die Universit\u00e4t 53) | _new>>""}}";;;;;;
Fellow;Andersen;Preben;;Dänemark;1958;2;1;;Institut;;Aarhus Universitet, Dänemark;Die deutsche Opposition gegen Hitler;;;B;Aarhus Universitet;Aarhus;Dänemark;;
Fellow;Applegate;Celia;;USA;1984, 1985;2;1;;Extern;Fulbright-Stiftung;Stanford University, USA;Regionalpatriotismus und Heimatbewußtsein in der Rheinpfalz 1870–1955;Robinson als Gutachter für Dissertation genannt;"{""weiteres52d3fad6270f4"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=016583477 | A Nation of Provincials: the German Idea of Heimat, Berkeley u.a. 1990 | _new>>\r\n""}}";B;Stanford University;Stanford, California;USA;;
